filename,real_class,predicted_class,confidence
55.jpg,Passport of Serbia,Passport of Serbia,100.0
57.jpg,Passport of Serbia,Passport of Serbia,100.0
71.jpg,Passport of Serbia,Passport of Serbia,100.0
79.jpg,Passport of Serbia,Passport of Serbia,100.0
82.jpg,Passport of Serbia,Passport of Serbia,100.0
87.jpg,Passport of Serbia,Passport of Serbia,100.0
10.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
13.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
25.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
39.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
42.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
47.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
52.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
60.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
66.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
74.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
75.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
78.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
90.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
91.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
94.jpg,ID Card of Slovakia,ID Card of Slovakia,100.0
